,q_values,state,action
832,[[5.3797703 5.5884295 3.3070874]],"[-0.10144179 -0.44396795 -0.39796613 -0.88679765 -0.05179991  0.
  1.          0.        ]",[0. 1. 0.]
833,[[4.136872  4.531962  1.0030692]],"[-0.21566389 -0.71474977  0.20468702 -0.91250203 -0.07182389  0.
  1.          0.        ]",[0. 1. 0.]
834,[[ 3.3811965  3.9772549 -0.5960716]],"[-0.1756404  -0.40576489  0.16046601 -0.91814619 -0.06711304  0.
  1.          0.        ]",[0. 1. 0.]
835,[[ 3.4325185  4.0318103 -0.7453079]],"[-0.03209609 -0.21875698 -0.13364675 -0.93640838 -0.04923182  0.
  1.          0.        ]",[0. 1. 0.]
836,[[4.2958283 4.584316  0.8673049]],"[-0.00934074 -0.15074464 -0.3835938  -0.92296153 -0.046259    0.
  1.          0.        ]",[0. 1. 0.]
837,[[4.633083  4.800378  1.5372919]],"[ 0.18735982  0.20313828 -0.83038421 -0.86297488 -0.0174636   0.
  1.          0.        ]",[0. 1. 0.]
838,[[6.8653755 7.267019  5.869537 ]],"[ 0.17292882  0.29846352 -0.44124452 -0.7767077  -0.0192469   0.
  1.          0.        ]",[0. 1. 0.]
839,[[6.8867545 7.2160378 6.125067 ]],"[ 0.15768575  0.18651672 -0.73182991 -0.9471531  -0.02104715  0.
  1.          0.        ]",[0. 1. 0.]
840,[[6.4564505 6.6674423 4.8772874]],"[ 0.19648056  0.19032888 -0.73182991 -0.94717989 -0.01545286  0.
  1.          0.        ]",[0. 1. 0.]
841,[[6.803129 7.114915 5.614578]],"[ 0.10412871  0.08556132 -0.99827077 -0.9713     -0.02589001  0.
  1.          0.        ]",[0. 1. 0.]
842,[[5.9639125 6.1078334 3.867921 ]],"[ 0.10546835  0.09251836 -0.99827077 -0.91534516 -0.02571658  0.
  1.          0.        ]",[0. 1. 0.]
843,[[6.0527177 6.2619686 4.194124 ]],"[ 0.1657011   0.10913525 -0.94899928 -0.92123243 -0.01805021  0.
  1.          0.        ]",[0. 1. 0.]
844,[[6.5788865 6.939243  5.294727 ]],"[ 2.92461609e-01  1.94309282e-01 -4.00596988e-01 -8.64444944e-01
  1.02968476e-06  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
845,[[7.83293  8.428439 8.095511]],"[ 0.41501277  0.31352413 -0.01253411 -0.90256699  0.02137381  0.
  1.          0.        ]",[0. 1. 0.]
846,[[ 9.248825   9.6235075 10.720903 ]],"[ 0.417998    0.31654347  0.0433405  -0.92831475  0.          1.
  0.          0.        ]",[0. 0. 1.]
847,[[7.7663984 8.731374  6.7640877]],"[ 0.38877943  0.28543063  0.22045986 -0.86376606 -0.00252309  0.
  1.          0.        ]",[0. 1. 0.]
848,[[7.9504337 8.017562  7.712305 ]],"[ 0.43710084  0.21577325  0.09184419 -0.94226948  0.00590779  0.
  1.          0.        ]",[0. 1. 0.]
849,[[8.285745 8.623449 8.480394]],"[ 0.31884181  0.15703417  0.09184419 -0.96648019 -0.00422644  0.
  1.          0.        ]",[0. 1. 0.]
850,[[7.1352305 7.5241194 6.2485957]],"[ 0.22935123  0.06393035 -0.22755408 -0.94976399 -0.01270686  0.
  1.          0.        ]",[0. 1. 0.]
851,[[6.4652467 6.839772  5.1187854]],"[ 0.08183807 -0.05154043 -0.93258215 -0.95011874 -0.02891997  0.
  1.          0.        ]",[0. 1. 0.]
852,[[5.663853  5.8210945 3.5097685]],"[ 0.1726624  -0.04042822 -0.88798067 -0.91901776 -0.01638682  0.
  1.          0.        ]",[0. 1. 0.]
853,[[6.3916044 6.7763133 5.170247 ]],"[ 0.10683435 -0.04985906 -0.90774296 -0.91447806 -0.02399657  0.
  1.          0.        ]",[0. 1. 0.]
854,[[5.8464394 6.0778184 4.035712 ]],"[ 0.09480069 -0.0919286  -0.90774296 -0.87972681 -0.02539243  0.
  1.          0.        ]",[0. 1. 0.]
855,[[5.726979  5.9800763 3.9422343]],"[ 0.13685864 -0.09021435 -0.94722607 -0.95341872 -0.02012515  0.
  1.          0.        ]",[0. 1. 0.]
856,[[6.0137105 6.313316  4.349825 ]],"[ 0.14229259 -0.10683816 -0.94722607 -0.93043179 -0.01946523  0.
  1.          0.        ]",[0. 1. 0.]
857,[[6.05941  6.402851 4.534749]],"[ 0.04749982 -0.23641531 -0.76605917 -0.93339042 -0.0292293   0.
  1.          0.        ]",[0. 1. 0.]
858,[[5.358168  5.559057  3.2777243]],"[ 0.12974366 -0.15672582 -0.78593401 -0.80654471 -0.01982127  0.
  1.          0.        ]",[0. 1. 0.]
859,[[5.9833655 6.386568  4.8356547]],"[ 0.11340669 -0.12505527 -0.78593401 -0.90306722 -0.02142632  0.
  1.          0.        ]",[0. 1. 0.]
860,[[5.7854385 6.042368  4.108614 ]],"[ 0.01987377 -0.23069914 -0.78426104 -0.92864845 -0.03098193  0.
  1.          0.        ]",[0. 1. 0.]
861,[[5.298401  5.4827757 3.1808226]],"[ 0.0398168  -0.26709223 -0.78426104 -0.89687497 -0.02895204  0.
  1.          0.        ]",[0. 1. 0.]
862,[[5.3138824 5.535859  3.3340907]],"[ 0.060263   -0.20333653 -0.93249199 -0.87090262 -0.02695129  0.
  1.          0.        ]",[0. 1. 0.]
863,[[5.544325  5.827686  3.7791338]],"[ 0.06880324 -0.13316403 -0.75924181 -0.94351814 -0.02615532  0.
  1.          0.        ]",[0. 1. 0.]
864,[[5.5755377 5.7570233 3.5771754]],"[ 0.07231694 -0.2018636  -0.82904774 -0.9127968  -0.02584794  0.
  1.          0.        ]",[0. 1. 0.]
865,[[5.53639   5.7726235 3.6509924]],"[ 0.11790029  0.04461205 -0.82904774 -0.93858667 -0.02197301  0.
  1.          0.        ]",[0. 1. 0.]
866,[[6.0546765 6.230089  4.293884 ]],"[ 3.30719050e-01  6.22170101e-01 -1.25537421e-01 -8.45193143e-01
  1.10385004e-05  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
867,[[9.030196 8.781049 9.546887]],"[ 0.34030437  0.50958942 -0.03485721 -0.83218336  0.          1.
  0.          0.        ]",[0. 0. 1.]
868,[[7.9930677 8.954306  7.0210314]],"[ 0.52167792  0.54857404  0.34467883 -0.9069357   0.02671886  0.
  1.          0.        ]",[0. 1. 0.]
869,[[10.386178 10.158158 12.159838]],"[ 0.50076811  0.38048719  0.34783381 -0.9314616   0.          1.
  0.          0.        ]",[0. 0. 1.]
870,[[7.9289083 8.768622  6.6516523]],"[ 0.3006025   0.19742183 -0.27622446 -0.91438044 -0.01500574  0.
  1.          0.        ]",[0. 1. 0.]
871,[[7.075918  7.4700923 6.149142 ]],"[ 0.3605794   0.1806423  -0.27622446 -0.93490195 -0.0063034   0.
  1.          0.        ]",[0. 1. 0.]
872,[[7.6583395 8.150285  7.3465195]],"[ 0.48592821  0.26047212  0.19218012 -0.91297673  0.01515089  0.
  1.          0.        ]",[0. 1. 0.]
873,[[8.99344  9.259596 9.909014]],"[ 0.44841049  0.23572665  0.21098737 -0.96009716  0.          1.
  0.          0.        ]",[0. 0. 1.]
874,[[7.593172 8.409958 6.571057]],"[ 0.37845405  0.1440576  -0.51423352 -0.95262052 -0.00557917  0.
  1.          0.        ]",[0. 1. 0.]
875,[[7.812738  8.453879  7.5694346]],"[ 0.37986275  0.13433977 -0.51423352 -0.97205289 -0.00536376  0.
  1.          0.        ]",[0. 1. 0.]
876,[[7.77919   8.406416  7.4710774]],"[ 4.15782758e-01  1.49568501e-01 -3.01356646e-01 -9.28737139e-01
 -8.67814400e-06  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
877,[[8.18256  8.824746 8.474252]],"[ 0.47208908  0.19415689 -0.15255327 -0.90630595  0.00883199  0.
  1.          0.        ]",[0. 1. 0.]
878,[[8.882809 9.508188 9.947247]],"[ 0.5757564   0.28837932  0.17988899 -0.93895993  0.          1.
  0.          0.        ]",[0. 0. 1.]
879,[[8.109786 9.315838 6.917335]],"[ 0.60110595  0.37509235  0.35394936 -0.87468943  0.0055699   0.
  1.          0.        ]",[0. 1. 0.]
880,[[ 9.464603  9.389691 10.236161]],"[ 0.61757289  0.30753631  0.35394936 -0.95859392  0.          1.
  0.          0.        ]",[0. 0. 1.]
881,[[8.153871  9.249827  6.7943687]],"[ 0.64569681  0.27642771  0.41572346 -0.95882936  0.0063299   0.
  1.          0.        ]",[0. 1. 0.]
882,[[9.245817 9.294926 9.713976]],"[ 0.44447134  0.162056   -0.07272338 -0.97190295  0.          1.
  0.          0.        ]",[0. 0. 1.]
883,[[7.6466365 8.516195  6.767863 ]],"[ 0.42078206  0.11248141 -0.07272338 -0.9420366  -0.00174952  0.
  1.          0.        ]",[0. 1. 0.]
884,[[7.7701483 8.3159    7.5465155]],"[ 0.37926773  0.0496575  -0.59614236 -0.96293009 -0.00474682  0.
  1.          0.        ]",[0. 1. 0.]
885,[[7.698918  8.3812895 7.439238 ]],"[ 0.47403047  0.13679096 -0.12167161 -0.93920622  0.00985148  0.
  1.          0.        ]",[0. 1. 0.]
886,[[8.681364 9.354898 9.516438]],"[ 0.46886474  0.13259018 -0.12167161 -0.94102848  0.          1.
  0.          0.        ]",[0. 0. 1.]
887,[[7.730304 8.701198 6.926383]],"[ 0.55999449  0.22170561  0.13926348 -0.9435762   0.01599689  0.
  1.          0.        ]",[0. 1. 0.]
888,[[ 9.343495  9.787488 10.577006]],"[ 0.60582785  0.29871619  0.23831711 -0.95868708  0.          1.
  0.          0.        ]",[0. 0. 1.]
889,[[8.163701 9.386047 6.873295]],"[ 0.38678259  0.21583392 -0.22623813 -0.95401019 -0.01624783  0.
  1.          0.        ]",[0. 1. 0.]
890,[[7.387989  7.711623  6.4565697]],"[ 0.20951087 -0.01487664 -0.84495853 -0.95147587 -0.0329945   0.
  1.          0.        ]",[0. 1. 0.]
891,[[5.8949237 6.154425  3.6182723]],"[ 0.26999201 -0.0549642  -0.95744875 -0.92812398 -0.02390103  0.
  1.          0.        ]",[0. 1. 0.]
892,[[6.486134  7.0045695 4.9759083]],"[ 0.36910207  0.17228421 -0.59048994 -0.95162581 -0.00739945  0.
  1.          0.        ]",[0. 1. 0.]
893,[[7.782137 8.413997 7.423785]],"[ 0.31446604  0.1087028  -0.59940779 -0.96570305 -0.01258011  0.
  1.          0.        ]",[0. 1. 0.]
894,[[7.1853094 7.673781  6.3011394]],"[ 0.23272824  0.01093691 -0.59940779 -0.95990766 -0.02067853  0.
  1.          0.        ]",[0. 1. 0.]
895,[[6.3460155 6.6366415 4.7432814]],"[ 0.20462506 -0.07582709 -0.95149982 -0.93610212 -0.02353032  0.
  1.          0.        ]",[0. 1. 0.]
896,[[6.1964006 6.5958714 4.552943 ]],"[ 0.31872033  0.1148551  -0.55238617 -0.96036706 -0.0064799   0.
  1.          0.        ]",[0. 1. 0.]
897,[[7.463581 8.002421 6.996057]],"[ 0.29185357  0.11161775 -0.46080674 -0.9744628  -0.00898502  0.
  1.          0.        ]",[0. 1. 0.]
898,[[7.1287947 7.559767  6.3293037]],"[ 0.27275736  0.08368862 -0.46080674 -0.91139565 -0.01070531  0.
  1.          0.        ]",[0. 1. 0.]
899,[[7.022958  7.4742465 6.318355 ]],"[ 0.37848137  0.17047667 -0.86754508 -0.84750606  0.00523348  0.
  1.          0.        ]",[0. 1. 0.]
900,[[8.672475 9.642982 9.586285]],"[ 0.24755417  0.19069065 -0.86754508 -0.91497254 -0.00665452  0.
  1.          0.        ]",[0. 1. 0.]
901,[[7.4991574 8.062412  7.1034055]],"[ 0.38011127  0.40324338 -0.63340889 -0.90224542  0.01498192  0.
  1.          0.        ]",[0. 1. 0.]
902,[[ 9.37623  10.078912 10.822372]],"[ 0.24683968  0.30335499 -0.45882755 -0.92902362  0.          1.
  0.          0.        ]",[0. 0. 1.]
903,[[7.604704 8.449548 6.907936]],"[ 0.33271527  0.29435006 -0.45882755 -0.92874224  0.01477495  0.
  1.          0.        ]",[0. 1. 0.]
904,[[8.80023  9.453791 9.930529]],"[ 0.42988653  0.40651524  0.01562066 -0.87589662  0.          1.
  0.          0.        ]",[0. 0. 1.]
905,[[8.020725  9.15414   7.0005593]],"[ 4.31927152e-01  3.61627139e-01  1.81971000e-01 -9.15844755e-01
  4.38074521e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
906,[[8.439623 8.419423 8.413294]],"[ 0.51545916  0.34271517  0.31779835 -0.92505433  0.01918571  0.
  1.          0.        ]",[1. 0. 0.]
907,[[ 9.424053   9.4914875 10.511182 ]],"[ 0.52633746  0.30969567  0.37687335 -0.95645902  0.          1.
  0.          0.        ]",[0. 0. 1.]
908,[[7.8505454 8.739276  6.600276 ]],"[ 0.45313627  0.21909415  0.21218645 -0.94582213 -0.00651928  0.
  1.          0.        ]",[0. 1. 0.]
909,[[7.7638135 7.920434  7.0844893]],"[ 0.4235141   0.14118955 -0.23371377 -0.92959212 -0.00917037  0.
  1.          0.        ]",[0. 1. 0.]
910,[[7.756417  8.287582  7.4286942]],"[ 0.53057755  0.22420231  0.2925464  -0.8019597   0.01367414  0.
  1.          0.        ]",[0. 1. 0.]
911,[[ 9.214152  9.518413 10.54996 ]],"[ 0.33688115  0.15500724  0.2925464  -0.92191386  0.          1.
  0.          0.        ]",[0. 0. 1.]
912,[[7.1051135 7.6073203 6.3909864]],"[ 0.26534949  0.04958059 -0.34892834 -0.92503391 -0.00802001  0.
  1.          0.        ]",[0. 1. 0.]
913,[[6.8882937 7.3256297 6.1150827]],"[ 3.09422153e-01  6.19368895e-02 -3.48928338e-01 -9.53356192e-01
 -1.11048465e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
914,[[7.4148207 7.962204  7.1629667]],"[ 0.36868713  0.12540837 -0.17093566 -0.9561904   0.01097592  0.
  1.          0.        ]",[0. 1. 0.]
915,[[8.119738 8.781533 8.560085]],"[ 0.4604741   0.29101836  0.16225175 -0.92208167  0.03017611  0.
  1.          0.        ]",[0. 1. 0.]
916,[[ 9.588332  9.951872 11.370448]],"[ 0.34025313  0.22574434  0.16184379 -0.943566    0.          1.
  0.          0.        ]",[0. 0. 1.]
917,[[7.2974586 7.9105387 6.468298 ]],"[ 0.32904029  0.17061892  0.16184379 -0.95582352 -0.00121728  0.
  1.          0.        ]",[0. 1. 0.]
918,[[7.3024454 7.641501  6.5873904]],"[ 0.36176654  0.13496802 -0.22192785 -0.97103329  0.0048692   0.
  1.          0.        ]",[0. 1. 0.]
919,[[7.8747373 8.478607  7.9250445]],"[ 0.42208418  0.29190089  0.14712517 -0.93674527  0.01653689  0.
  1.          0.        ]",[0. 1. 0.]
920,[[8.839219 9.095556 9.655894]],"[ 0.39474684  0.22776199  0.14712517 -0.95101839  0.          1.
  0.          0.        ]",[0. 0. 1.]
921,[[7.46889   8.204141  6.5563016]],"[ 0.50070193  0.34372846  0.40194068 -0.88561727  0.02197552  0.
  1.          0.        ]",[0. 1. 0.]
922,[[ 9.47846   9.515603 10.736793]],"[ 0.39377267  0.25971153  0.40194068 -0.92512005  0.          1.
  0.          0.        ]",[0. 0. 1.]
923,[[7.3726873 7.9314027 6.404597 ]],"[ 0.24504875  0.06485472 -0.59422729 -0.93913539 -0.01630458  0.
  1.          0.        ]",[0. 1. 0.]
924,[[6.6873574 7.0531263 5.499948 ]],"[ 0.26345952  0.07288198 -0.59422729 -0.917281   -0.01308389  0.
  1.          0.        ]",[0. 1. 0.]
925,[[6.949052  7.397946  6.1036615]],"[ 0.21392865  0.00986336 -0.72302644 -0.95151734 -0.01866515  0.
  1.          0.        ]",[0. 1. 0.]
926,[[6.4391527 6.7721405 5.01877  ]],"[ 0.2088793  -0.08449797 -0.94705827 -0.94129327 -0.01922068  0.
  1.          0.        ]",[0. 1. 0.]
927,[[6.352828  6.790043  4.9563384]],"[ 0.23003579  0.00212627 -0.7730973  -0.9586271  -0.01616004  0.
  1.          0.        ]",[0. 1. 0.]
928,[[6.597603 6.997012 5.349234]],"[ 0.31150818  0.09560039 -0.61658265 -0.92818076 -0.0039495   0.
  1.          0.        ]",[0. 1. 0.]
929,[[7.5855203 8.192649  7.389715 ]],"[ 0.35039584  0.24025862 -0.40486401 -0.91262262  0.00223489  0.
  1.          0.        ]",[0. 1. 0.]
930,[[8.236598 8.830766 8.643613]],"[ 0.39234903  0.24611344 -0.32430626 -0.91824445  0.00906343  0.
  1.          0.        ]",[0. 1. 0.]
931,[[8.705437 9.31921  9.640621]],"[ 0.46846244  0.3617706   0.04235675 -0.89943673  0.          1.
  0.          0.        ]",[0. 0. 1.]
932,[[8.026493  9.194532  6.9726043]],"[ 0.48466326  0.32759934  0.06939605 -0.9487648   0.00308123  0.
  1.          0.        ]",[0. 1. 0.]
933,[[8.722951  8.8530245 8.997515 ]],"[ 0.44963347  0.25134967  0.06939605 -0.94012501  0.          1.
  0.          0.        ]",[0. 0. 1.]
934,[[7.7319427 8.673447  6.751572 ]],"[ 0.52220383  0.28854998  0.23949657 -0.93686267  0.01320769  0.
  1.          0.        ]",[0. 1. 0.]
935,[[9.091137 9.257523 9.856397]],"[ 0.52841651  0.27652873  0.35379533 -0.95405039  0.          1.
  0.          0.        ]",[0. 0. 1.]
936,[[7.810258  8.747675  6.6089344]],"[ 5.30685985e-01  2.05561508e-01  2.06669642e-01 -9.25132810e-01
  4.12858520e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
937,[[8.445736 8.707861 8.532999]],"[ 0.59148979  0.21370524  0.3292163  -0.96070586  0.01183723  0.
  1.          0.        ]",[0. 1. 0.]
938,[[9.073283 9.334504 9.732539]],"[ 0.59690425  0.21137614  0.37131031 -0.94131624  0.          1.
  0.          0.        ]",[0. 0. 1.]
939,[[7.9149156 9.019933  6.7427163]],"[ 0.51352724  0.14873651 -0.30695031 -0.906119   -0.0050246   0.
  1.          0.        ]",[0. 1. 0.]
940,[[8.479601 9.156992 8.80422 ]],"[ 0.5579701   0.16238504 -0.20683039 -0.90821371  0.00249072  0.
  1.          0.        ]",[0. 1. 0.]
941,[[9.007058 9.691436 9.932863]],"[ 0.61504169  0.22481614  0.05221523 -0.92959467  0.          1.
  0.          0.        ]",[0. 0. 1.]
942,[[8.229248  9.5452385 7.1310053]],"[ 0.65649074  0.29852927  0.23639239 -0.94504052  0.00881795  0.
  1.          0.        ]",[0. 1. 0.]
943,[[ 9.681679  9.887945 10.749757]],"[ 0.41050687  0.18585606 -0.48307687 -0.93065894  0.          1.
  0.          0.        ]",[0. 0. 1.]
944,[[7.9406176 9.074873  7.2222753]],"[ 0.29125395  0.02297752 -0.91586777 -0.93156369 -0.00959739  0.
  1.          0.        ]",[0. 1. 0.]
945,[[7.250827 7.89178  6.635232]],"[ 0.29887031 -0.06502384 -0.78962124 -0.93707323 -0.00856756  0.
  1.          0.        ]",[0. 1. 0.]
946,[[7.1003323 7.7246523 6.5010014]],"[ 0.27030131 -0.05051149 -0.99380944 -0.9381528  -0.0108121   0.
  1.          0.        ]",[0. 1. 0.]
947,[[7.020576  7.6499033 6.263917 ]],"[ 0.36420177  0.07333014 -0.79379603 -0.94579406  0.00140699  0.
  1.          0.        ]",[0. 1. 0.]
948,[[8.058047 8.855908 8.250176]],"[ 0.39764979  0.12371566 -0.67740146 -0.94958533  0.006117    0.
  1.          0.        ]",[0. 1. 0.]
949,[[8.441798 9.284767 8.999703]],"[ 0.34807471  0.12877955 -0.53037573 -0.96536297  0.00265442  0.
  1.          0.        ]",[0. 1. 0.]
950,[[7.9910903 8.647684  8.150064 ]],"[ 0.35589206  0.06907449 -0.65666434 -0.93110621  0.0036285   0.
  1.          0.        ]",[0. 1. 0.]
951,[[8.071463 8.839279 8.433553]],"[ 0.21275996 -0.05568704 -0.9973929  -0.95536604 -0.00652989  0.
  1.          0.        ]",[0. 1. 0.]
952,[[6.9293203 7.4802346 6.2658844]],"[ 0.10869406 -0.33976566 -0.23738484 -0.87645937 -0.01507469  0.
  1.          0.        ]",[0. 1. 0.]
953,[[5.3988767 5.9029574 3.7401915]],"[ 0.36840669  0.08702475 -0.97222871 -0.89003957  0.01762484  0.
  1.          0.        ]",[0. 1. 0.]
954,[[ 8.990814 10.060881 10.468561]],"[ 0.27751487  0.20306855 -0.7671572  -0.9020355   0.          1.
  0.          0.        ]",[0. 0. 1.]
955,[[7.85332  8.899531 7.324786]],"[ 0.22327505  0.09576144 -0.7671572  -0.92589081 -0.00502449  0.
  1.          0.        ]",[0. 1. 0.]
956,[[7.224994 7.725727 6.793047]],"[ 0.12107381 -0.04337985 -0.88178928 -0.89009636 -0.01519621  0.
  1.          0.        ]",[0. 1. 0.]
957,[[6.2619214 6.6001406 5.1087294]],"[ 0.02682919 -0.23707053 -0.48765686 -0.61738921 -0.02578671  0.
  1.          0.        ]",[0. 1. 0.]
958,[[5.2070656 5.5351973 3.9179347]],"[-0.1247976  -0.46169005 -0.21760235 -0.77689975 -0.04668166  0.
  1.          0.        ]",[0. 1. 0.]
959,[[4.0919714 4.5922847 1.3308811]],"[ 0.01171421 -0.33221263 -0.21760235 -0.8777527  -0.02990527  0.
  1.          0.        ]",[0. 1. 0.]
960,[[4.8139687 5.2394314 2.4552224]],"[ 0.05389495 -0.20802149 -0.48402176 -0.91659893 -0.02437811  0.
  1.          0.        ]",[0. 1. 0.]
961,[[5.364813  5.653102  3.3803804]],"[ 0.06450243 -0.17479518 -0.51344643 -0.93036607 -0.02302975  0.
  1.          0.        ]",[0. 1. 0.]
962,[[5.4952655 5.7634416 3.5843701]],"[ 0.17000221 -0.02669027 -0.96325545 -0.8965183  -0.00920516  0.
  1.          0.        ]",[0. 1. 0.]
963,[[6.759024  7.2549214 6.0758934]],"[ 0.20261753  0.10507432 -0.75314861 -0.89274808 -0.00469774  0.
  1.          0.        ]",[0. 1. 0.]
964,[[7.212105  7.707595  6.8919177]],"[ 2.41506815e-01  1.40615246e-01 -6.34120835e-01 -9.05602821e-01
  6.62873625e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
965,[[7.6033807 8.151103  7.6595464]],"[ 0.37376712  0.28117708 -0.19401793 -0.87139264  0.02112471  0.
  1.          0.        ]",[0. 1. 0.]
966,[[ 9.191938  9.779642 10.949365]],"[ 0.48022565  0.42260186  0.13324585 -0.9076669   0.          1.
  0.          0.        ]",[0. 0. 1.]
967,[[8.099706 9.175584 6.907699]],"[ 0.53422138  0.40339023  0.32035544 -0.85938012  0.01254916  0.
  1.          0.        ]",[0. 1. 0.]
968,[[ 9.52633   9.441851 10.57998 ]],"[ 0.55930429  0.34381483  0.34611575 -0.89628542  0.          1.
  0.          0.        ]",[0. 0. 1.]
969,[[8.081572 9.088948 6.843925]],"[ 0.36127273  0.19997507 -0.07709588 -0.9120018  -0.01870459  0.
  1.          0.        ]",[0. 1. 0.]
970,[[7.0773764 7.3550897 5.9012914]],"[ 0.38507881  0.1608341  -0.07709588 -0.95827554 -0.01398903  0.
  1.          0.        ]",[0. 1. 0.]
971,[[7.186877  7.5434475 6.0981355]],"[ 0.41571256  0.14628304 -0.07709588 -0.95045372 -0.00796052  0.
  1.          0.        ]",[0. 1. 0.]
972,[[7.5564017 7.9918604 6.9462543]],"[ 0.25597396  0.0772062  -0.69911493 -0.93940146 -0.02439873  0.
  1.          0.        ]",[0. 1. 0.]
973,[[6.502662  6.85896   4.8823647]],"[ 0.19541195 -0.00905317 -0.61393506 -0.90399877 -0.03141177  0.
  1.          0.        ]",[0. 1. 0.]
974,[[5.835276 6.03518  3.714822]],"[ 0.24020096  0.01211451 -0.63419757 -0.93001323 -0.02425424  0.
  1.          0.        ]",[0. 1. 0.]
975,[[6.3183208 6.6418266 4.6792994]],"[ 0.03507987 -0.1004666  -0.26768578 -0.9457328  -0.05091413  0.
  1.          0.        ]",[0. 1. 0.]
976,[[4.5303936 4.673364  1.0388322]],"[-0.15926838 -0.36091299  0.16004525 -0.86956846 -0.0876561   0.
  1.          0.        ]",[0. 1. 0.]
977,[[ 2.944397   3.464606  -2.0493782]],"[-0.2657354  -0.52213589  0.40784968 -0.76180802 -0.1156256   0.
  1.          0.        ]",[0. 1. 0.]
978,[[ 2.212565   2.716607  -3.3549795]],"[-0.25487676 -0.41527787  0.40784968 -0.88337644 -0.11392361  0.
  1.          0.        ]",[0. 1. 0.]
979,[[ 2.2571597  2.8750808 -3.670973 ]],"[-0.21365311 -0.3249978   0.40784968 -0.9446309  -0.10772732  0.
  1.          0.        ]",[0. 1. 0.]
980,[[ 2.484945   3.0671096 -3.4502146]],"[-0.3036059  -0.30597075  0.49163013 -0.94539209 -0.13228491  0.
  1.          0.        ]",[0. 1. 0.]
981,[[ 1.9819609  2.6350138 -4.714273 ]],"[-0.38933231 -0.32260903  0.60785718 -0.86470399 -0.16163068  0.
  1.          0.        ]",[0. 1. 0.]
982,[[ 1.578289   2.2635481 -5.630606 ]],"[-0.29937497 -0.27647155  0.61391185 -0.85991162 -0.14706079  0.
  1.          0.        ]",[0. 1. 0.]
983,[[ 1.7279525  2.4115415 -5.3637457]],"[-0.19174056 -0.2061107   0.10569904 -0.83325081 -0.12889493  0.
  1.          0.        ]",[0. 1. 0.]
984,[[ 2.2397747  2.607265  -4.1072683]],"[-0.25044114 -0.21028507  0.14197043 -0.90587271 -0.14587025  0.
  1.          0.        ]",[0. 1. 0.]
985,[[ 1.9937735  2.451836  -4.926647 ]],"[-0.20084358 -0.17481737 -0.12959561 -0.84824748 -0.13743642  0.
  1.          0.        ]",[0. 1. 0.]
986,[[ 2.2313    2.499475 -4.272804]],"[-0.27043457 -0.20776597  0.01979807 -0.9149885  -0.15776175  0.
  1.          0.        ]",[0. 1. 0.]
987,[[ 1.8682871  2.3138385 -5.3179517]],"[-0.36501316 -0.39056914  0.55024559 -0.76344653 -0.19158036  0.
  1.          0.        ]",[0. 1. 0.]
988,[[ 1.44193    2.0803542 -5.906099 ]],"[-0.45060172 -0.4097705   0.55024559 -0.87511437 -0.23172862  0.
  1.          0.        ]",[0. 1. 0.]
989,[[ 1.4074339  2.0780897 -6.484713 ]],"[-0.27132571 -0.35888467  0.59243445 -0.8506325  -0.19506808  0.
  1.          0.        ]",[0. 1. 0.]
990,[[ 1.4688659  2.15509   -6.29455  ]],"[-0.31724977 -0.27119248  0.30882474 -0.87844115 -0.21440785  0.
  1.          0.        ]",[0. 1. 0.]
991,[[ 1.439912   2.0335364 -6.5815334]],"[-0.29896152 -0.25346658  0.33267846 -0.85166549 -0.21059407  0.
  1.          0.        ]",[0. 1. 0.]
992,[[ 1.439399   2.0174813 -6.531551 ]],"[-0.17651411 -0.1812338  -0.2170818  -0.71733932 -0.18487919  0.
  1.          0.        ]",[0. 1. 0.]
993,[[ 1.5652313  1.9341887 -5.8790984]],"[-0.15732773 -0.1121282  -0.2170818  -0.88962037 -0.18081376  0.
  1.          0.        ]",[0. 1. 0.]
994,[[ 1.790199   2.0984457 -5.9319687]],"[-0.22339274 -0.14061672 -0.2170818  -0.91481686 -0.20224135  0.
  1.          0.        ]",[0. 1. 0.]
995,[[ 1.5974953  1.9777243 -6.484601 ]],"[-0.28911777 -0.24902658  0.07076637 -0.79662307 -0.22661588  0.
  1.          0.        ]",[0. 1. 0.]
996,[[ 1.3958569  1.9026716 -6.6276407]],"[-0.37749267 -0.35725616  0.28874141 -0.83464239 -0.26661588  0.
  1.          0.        ]",[0. 1. 0.]
997,[[ 1.3638752  1.9651434 -6.9024396]],"[-0.27900309 -0.34134562  0.32419638 -0.85339588 -0.24472692  0.
  1.          0.        ]",[0. 1. 0.]
998,[[ 1.3993582  2.0202327 -6.8621817]],"[-0.29618415 -0.2562725  -0.20658998 -0.79640996 -0.25201064  0.
  1.          0.        ]",[0. 1. 0.]
