,q_values,state,action
73,[[8.093139 8.55322  8.270862]],"[ 0.55079352  0.35371451  0.27815512 -0.6977334   0.05807578  0.
  1.          0.        ]",[0. 1. 0.]
74,[[11.858306 12.366953 16.685896]],"[ 0.46212309  0.30946287  0.3033058  -0.85551611  0.          1.
  0.          0.        ]",[0. 0. 1.]
75,[[7.7782836 8.680113  6.797551 ]],"[ 0.38533477  0.19221149 -0.18982968 -0.84588798 -0.01228337  0.
  1.          0.        ]",[0. 1. 0.]
76,[[7.674778  8.128773  7.4334135]],"[ 0.34306311  0.14334966 -0.25732279 -0.9117     -0.019252    0.
  1.          0.        ]",[0. 1. 0.]
77,[[6.9598703 7.3795004 5.80406  ]],"[ 0.34562133  0.12064408 -0.25732279 -0.85207002 -0.01851393  0.
  1.          0.        ]",[0. 1. 0.]
78,[[7.064292 7.568919 6.229894]],"[ 0.36962348  0.11744471 -0.21874517 -0.79001482 -0.01189324  0.
  1.          0.        ]",[0. 1. 0.]
79,[[7.5600944 8.168464  7.482144 ]],"[ 0.32602545  0.09852432 -0.03545551 -0.8781955  -0.01811899  0.
  1.          0.        ]",[0. 1. 0.]
80,[[6.6838503 7.118195  5.379192 ]],"[ 0.30552841  0.03802679 -0.11555466 -0.87372981 -0.02099595  0.
  1.          0.        ]",[0. 1. 0.]
81,[[6.40153   6.834502  4.8732715]],"[ 0.23019159 -0.04764904 -0.5129398  -0.91039392 -0.03172125  0.
  1.          0.        ]",[0. 1. 0.]
82,[[5.821077  6.045053  3.6698184]],"[ 0.26109817 -0.04228154 -0.5129398  -0.91754069 -0.02522183  0.
  1.          0.        ]",[0. 1. 0.]
83,[[6.2004085 6.530583  4.50727  ]],"[ 0.23838825 -0.12368348 -0.78980709 -0.91367284 -0.02827329  0.
  1.          0.        ]",[0. 1. 0.]
84,[[6.024378  6.412957  4.2035327]],"[ 0.182466   -0.2054668  -0.78980709 -0.90822902 -0.03579136  0.
  1.          0.        ]",[0. 1. 0.]
85,[[5.420961  5.7041483 3.0671911]],"[ 0.22317977 -0.17194493 -0.75088985 -0.85321659 -0.02848812  0.
  1.          0.        ]",[0. 1. 0.]
86,[[5.9310117 6.356114  4.280129 ]],"[ 0.22186075 -0.18381452 -0.51550895 -0.92742914 -0.02864932  0.
  1.          0.        ]",[0. 1. 0.]
